#  aims_uuid : 9BAF59A7-5CCE-4CB6-A97F-F69893AB3B24                                
# The energy reference for this output is the chemical potential, mu =      -4.708547 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -15.08145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.07845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.07545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.07245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.06945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.06645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.06345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.06045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.05745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.05445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.05145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.04845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.04545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.04245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.03945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.03645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.03345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.03045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.02745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.02445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.02145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.01845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.01545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.01245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.00945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.00645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.00345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -15.00045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.99745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.99445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.99145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.98845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.98545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.98245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.97945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.97645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.97345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.97045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.96745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.96445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.96145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.95845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.95545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.95245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.94945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.94645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.94345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.94045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.93745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.93445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.93145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.92845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.92545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.92245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.91945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.91645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.91345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.91045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.90745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.90445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.90145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.89845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.89545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.89245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.88945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.88645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.88345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.88045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.87745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.87445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.87145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.86845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.86545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.86245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.85945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.85645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.85345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.85045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.84745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.84445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.84145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.83845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.83545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.83245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.82945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.82645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.82345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.82045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.81745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.81445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.81145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.80845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.80545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.80245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.79945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.79645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.79345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.79045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.78745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.78445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.78145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.77845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.77545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.77245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.76945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.76645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.76345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.76045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.75745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.75445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.75145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.74845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.74545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.74245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.73945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.73645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.73345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
